month,flower,god_name,dynasty,poem,keyword,culture_image,dynasty_style,ai_script
1,梅花,林逋,北宋,"疏影横斜水清浅，暗香浮动月黄昏","高洁，清冷，孤傲",寒梅临水、月下暗香，孤高隐逸、不染尘俗，兼具隐士淡泊风骨与文人清雅审美,北宋诗文情理兼备，咏物常寄寓人格追求，语言清雅冲淡，兼具隐逸意趣与入世哲思,正月梅花是岁寒之首，花神林逋以"梅妻鹤子"传为佳话，写下疏影暗香的咏梅绝唱。同朝王安石、苏轼、黄庭坚均有传世咏梅名篇，北宋文人常将寒梅品性与文人风骨相融，于花木中寄寓人格追求，尽显清雅自持的宋代审美。
2,杏花,陆游,南宋,"小楼一夜听春雨，深巷明朝卖杏花","春日，相逢，温柔",春雨绵绵、巷陌杏花，江南市井闲适温柔，兼具日常烟火气与文人恬淡心境,南宋诗词细腻婉约，多描摹江南风物与市井日常，于寻常景致中寄寓闲情与感怀，语言清新生动,二月杏花伴着江南春雨绽放，花神陆游以一夜春雨、深巷卖花勾勒出南宋市井的温柔烟火。同朝叶绍翁、范成大、杨万里均留下咏杏佳句，南宋文人偏爱从日常春景中捕捉诗意，尽显恬淡闲适的江南情调。
3,桃花,息夫人,春秋,"桃之夭夭，灼灼其华","爱情，春日，明艳",春日繁花、明艳盛放，关联女子青春与婚嫁喜事，是华夏最早的春日美好意象,先秦诗歌质朴直白，多以草木起兴抒情，语言凝练厚重，承载上古礼乐文化与朴素人文情感,三月桃花盛放于仲春时节，花神息夫人的典故为桃花添上了温婉的人文底色。《诗经》中"桃之夭夭"传为尹吉甫采集、孔子编订，左丘明亦在史传中提及桃意象，春秋时期的诗句质朴真挚，是华夏最早的春日花木诗意表达。
4,芍药,杨玉环,唐代,"云想衣裳花想容，春风拂槛露华浓","华贵，浪漫，美人",繁花华贵、美人相映，盛唐雍容富贵，以花喻人，尽显大唐宫廷美学与浪漫文风,唐诗气象雍容开阔，辞藻华美浪漫，擅长以花木喻人抒怀，兼具宫廷华贵气韵与文人抒情张力，风格奔放灵动,四月芍药雍容盛放，花神杨玉环与芍药的典故尽显盛唐华贵气象。李白写下"云想衣裳花想容"以花喻人，同朝白居易、王维、李商隐也多有吟咏花木的佳作，唐诗融繁花与美人为一体，尽显大唐浪漫雍容的文风。
5,榴花,张骞,西汉,"张骞使西域还，得安石榴、胡桃、蒲桃","开拓，热烈，丝路",仲夏火红、西域传入，见证汉代丝绸之路文化交流，兼具开拓精神与热烈生命力,西汉文辞质朴写实，偏重史事记载与风物叙事，赋作辞藻宏丽，记录疆域开拓与物产交流，兼具史传厚重与辞赋大气,五月榴花如火盛放，花神张骞出使西域带回石榴树种，见证了汉代丝路开拓的历史。西汉司马相如、贾谊、扬雄的辞赋与史文尽显大汉宏阔气象，榴花也成为中西文明交融的独特花木符号。
6,荷花,周敦颐,北宋,"出淤泥而不染，濯清涟而不妖","高洁，君子，清净",淤泥生花、洁净自持，儒家君子品格核心象征，代表坚守本心、不与世俗同流合污,北宋诗文重理趣与修身，咏物常蕴含儒家哲思，文风雅正通透，将君子品格寄寓于自然花木之中,六月荷花盛夏盛放，花神周敦颐以《爱莲说》定义了荷花"出淤泥而不染"的君子品格。同朝苏轼、欧阳修、范仲淹均有咏荷抒怀之作，北宋文人常以荷花喻修身立德的追求，将花木意象与君子人格深度绑定。
7,蜀葵,徐渭,明代,"丹心托向谁，画里向阳枝","赤诚，向阳，忠直",花枝向阳、赤诚本心，忠直热忱，兼具文人书画意境与坦荡热烈的生命追求,明代诗文融合书画意趣，个性鲜明，常借花木抒发个人心志，写意感强，兼具文人狂放与细腻的双重特质,七月蜀葵向阳而生，花神徐渭以画中向阳蜀葵寄托赤诚丹心。同代书画家唐寅、文徵明、沈周也常以花木入画入诗，明代文人多将书画意境融入诗文，借草木直抒胸臆，尽显坦荡热忱的文人底色。
8,桂花,李清照,南宋,"何须浅碧深红色，自是花中第一流","团圆，内敛，清雅",花香内敛、中秋团圆，清雅温润，推崇内在品格胜过外表艳丽，是南宋婉约词核心意象,南宋诗词兼具婉约柔美与豪放风骨，咏物重内在品格，不尚浓艳，于清淡物象中寄寓家国情怀与个人情志,八月桂花中秋飘香，花神李清照盛赞桂花"自是花中第一流"，推崇内敛不张扬的内在之美。同朝辛弃疾、姜夔、张孝祥也常以桂花抒怀，南宋文人咏花不重外形艳丽，更看重花木承载的品格与情志。
9,菊花,陶渊明,东晋,"采菊东篱下，悠然见南山","隐逸，自然，高洁",秋菊凌霜、田园归隐，淡泊自在，是华夏隐逸文化的核心符号，代表远离官场、亲近自然,东晋诗文崇尚自然田园，文风冲淡质朴，追求隐逸自在的精神境界，开创山水田园诗的审美范式,九月秋菊凌霜而开，花神陶渊明以"采菊东篱下"奠定了菊花隐逸文化的内核。同代谢灵运、王羲之、孙绰均偏爱自然花木意象，东晋文人从自然中寻得精神归宿，尽显淡泊超然的魏晋风度。
10,芙蓉,王昭君,西汉,"有女同车，颜如舜华。将翱将翔，佩玉琼琚","柔美，坚韧，风华",秋木芙蓉、温婉柔美，女子风华，以花喻人，兼具少女的清丽与巾帼的坚韧风骨,西汉诗歌温婉质朴，多以花木喻女子形貌与品格，兼具柔美与端方，承载先秦以来的诗教传统,十月木芙蓉深秋盛放，"舜华"即木芙蓉，《诗经》以其喻女子清丽容颜。花神王昭君为芙蓉赋予了柔美坚韧的风骨，西汉班婕妤、卓文君、刘向也常以花木喻人，尽显汉代温婉端方的审美气质。
11,山茶,王阳明,唐代,"浮花惊鸿照影来","坚韧，清雅，自持",寒冬花开、轻盈坚韧，自持坚守，在百花凋零的冬季依然盛放，兼具清雅之姿与坚韧之心,唐诗气韵灵动飘逸，咏物诗善用意象营造空灵意境，语言凝练传神，兼具画面感与抒情性,十一月山茶凌寒绽放，花影轻盈如惊鸿照水。唐代诗人刘禹锡、柳宗元、温庭筠均有吟咏耐寒花木的佳作，唐诗常以灵动笔触描摹花木姿态，借冬日盛放的山茶赞颂坚韧自持的品格，意境清雅悠远。
12,水仙,洛神,三国,"翩若惊鸿，婉若游龙。凌波微步，罗袜生尘","仙雅，空灵，清冷",临水白花、空灵仙气，清冷飘逸，素净淡雅不染尘俗，是冬日独有的仙雅临水意象,三国建安文学辞藻华美浪漫，气韵慷慨刚健，善写仙神意象与高远情志，兼具浪漫想象与雄浑风骨,十二月水仙临水而立，素净清雅如洛神凌波而来。曹植《洛神赋》写下"翩若惊鸿"的千古名句，同代曹操、曹丕的诗文则尽显建安风骨，三国文学融浪漫仙韵与雄浑气韵于一体，赋予水仙空灵不染的仙雅气质。
